Country,Year,Region,Maternal mortality ratio,Proportion of births attended by skilled health personnel (%),"Infant mortality rate (deaths per 1,000 live births):::BOTHSEX","Infant mortality rate (deaths per 1,000 live births):::MALE","Infant mortality rate (deaths per 1,000 live births):::FEMALE","Under-five mortality rate, by sex (deaths per 1,000 live births):::BOTHSEX","Under-five mortality rate, by sex (deaths per 1,000 live births):::MALE","Under-five mortality rate, by sex (deaths per 1,000 live births):::FEMALE","Neonatal mortality rate (deaths per 1,000 live births)","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::BOTHSEX","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::MALE","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::FEMALE","Fraction of deaths due to diabetes, among deaths due to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Fraction of deaths due to cancer, among deaths due to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Suicide mortality rate, by sex (deaths per 100,000 population):::BOTHSEX","Suicide mortality rate, by sex (deaths per 100,000 population):::MALE","Suicide mortality rate, by sex (deaths per 100,000 population):::FEMALE","Death rate due to road traffic injuries, by sex (per 100,000 population):::BOTHSEX","Death rate due to road traffic injuries, by sex (per 100,000 population):::MALE","Death rate due to road traffic injuries, by sex (per 100,000 population):::FEMALE","Adolescent birth rate (per 1,000 women aged 15-19 years)",Universal health coverage (UHC) service coverage index,"Health worker density, by type of occupation (per 10,000 population)::PHYSICIAN","Health worker density, by type of occupation (per 10,000 population)::NURSEMIDWIFE","Health worker density, by type of occupation (per 10,000 population)::PHARMACIST"
Bosnia and Herzegovina,2000,Europe,17,98.9,8.7,9.6,7.7,9.9,11,8.7,6.9,22,27.4,17,0.043,0.26,9,14.3,4,19,28.2,10.2,16.6,39,14.547,44.687,1.013
Bosnia and Herzegovina,2005,Europe,13,99.9,7.8,8.6,6.9,8.9,9.8,7.8,5.5,21.7,27.5,16.2,0.068,0.255,10.8,17.3,4.4,17.8,27.9,8,16.5,55,15.332,48.687,0.879
Bosnia and Herzegovina,2010,Europe,11,99.9,6.3,6.9,5.6,7.2,7.9,6.4,5.1,20.1,25.3,15.2,0.079,0.257,10.5,16.8,4.5,16.9,26.7,7.4,13.5,56,17.987,54.867,1.001
Bosnia and Herzegovina,2015,Europe,10,99.9,5.4,5.9,4.9,6.3,6.9,5.6,4.6,19.2,24.6,14.1,0.081,0.265,10.7,17,4.6,15.8,25.4,6.6,10.5,60,21.616,61.798,1.292
Brazil,2000,Americas,69,98.6,30.3,33.8,26.7,34.6,38.5,30.6,18,21.6,25.7,17.9,0.074,0.253,4,6.3,1.7,19.7,32,7.7,81.4,64,13.544,37.709,2.605
Brunei Darussalam,2015,Asia,30,100,8.8,9.6,7.9,10.6,11.6,9.5,5.2,18.5,20.4,16.5,0.159,0.349,1.9,2.9,0.7,8.9,13.3,4.2,11.6,83,17.812,66.426,1.711
Bulgaria,2015,Europe,10,99.8,6.8,7.5,6.1,8.1,8.9,7.3,4,24.3,32.8,16.1,0.019,0.193,9.8,15.5,4.5,10.1,16.2,4.4,39.4,64,40.332,48.156,8.364
Cabo Verde,2010,Africa,70,98.5,22.1,24.2,20,26.3,28.6,23.8,15.3,14.8,17.6,12.5,0.086,0.306,14.8,24.7,4.9,23.5,37.1,10.1,80,61,5.928,11.023,0.081
Chile,2010,Americas,20,99.8,7.4,8,6.8,8.7,9.4,7.9,5.3,12.9,15.7,10.5,0.061,0.386,11.6,19.1,4.4,12.5,20.1,5.2,53.5,61,28.665,12.67,2.636
Chile,2015,Americas,14,99.7,6.7,7.3,6.1,7.9,8.6,7.2,5.1,11.6,14.1,9.4,0.073,0.396,10,16,4.1,12.3,19.4,5.4,40.6,66,42.94,109.776,4.433
China,2000,Asia,59,96.6,30.1,31.9,28.2,36.8,38.7,34.7,21,23,27.7,17.8,0.023,0.293,14.3,13.9,14.7,21.4,29.9,12.4,6,48,12.356,9.763,3.194
China,2015,Asia,30,99.9,9.2,9.8,8.6,10.7,11.4,10,5.4,16.8,21.7,11.7,0.028,0.31,8.1,9.8,6.4,18.3,26.8,9.2,9.2,76,17.732,22.914,2.992
Costa Rica,2000,Americas,40,96.6,11,12.1,9.8,13.1,14.4,11.6,7.7,12.9,14.9,10.9,0.056,0.324,6.4,11.3,1.5,17.8,28.8,6.7,86,61,13.133,9.219,2.887
Costa Rica,2015,Americas,28,90,7.7,8.2,7.1,9,9.7,8.3,6.2,9.8,11.8,7.7,0.078,0.372,6.7,11.2,2.3,16.5,28.4,4.5,55.9,76,13.794,26.577,7.257
Cote d'Ivoire,2005,Africa,704,55.1,85.2,94.3,75.7,125.3,136,114,42.2,26.4,29.9,22,0.113,0.19,11.5,18.8,3.8,26.3,37.8,14.4,111.1,27,0.925,4.897,0.07
Croatia,2000,Europe,11,99.9,7.2,7.9,6.5,8.3,9.2,7.4,5.6,22.9,30.8,15.4,0.022,0.287,20.8,32.1,10.3,15.2,25.3,5.9,15.6,67,23.574,50.037,4.837
Croatia,2005,Europe,10,99.9,5.8,6.3,5.3,6.7,7.3,6.1,4.2,20.7,28.6,13.2,0.026,0.305,20.1,31,9.9,14.1,22.5,6.2,14.8,65,25.353,52.475,5.665
Croatia,2010,Europe,9,99.9,4.7,5,4.3,5.5,5.9,5,3.6,18.8,25.6,12.4,0.034,0.319,18.3,28.4,9,10.5,17.1,4.4,12.4,71,28.428,57.761,6.587
Croatia,2015,Europe,8,99.9,4.2,4.6,3.8,4.9,5.4,4.5,3.1,17.6,24.1,11.4,0.038,0.322,17.6,26.7,9.2,9.3,15.2,3.8,9.6,60,31.728,61.92,7.187
Cyprus,2000,Asia,14,97.9,5.7,6.1,5.2,6.6,7.1,6,3.7,13.1,16.7,9.5,0.094,0.272,2,2.8,1.3,12.3,19.9,4.5,10,64,19.082,31.072,1.272
Cyprus,2005,Asia,12,99.3,4.1,4.4,3.8,4.9,5.3,4.5,2.7,12.7,16.2,9.1,0.093,0.269,2.6,3.9,1.3,12.6,19.6,5.3,6.5,68,18.965,30.126,1.557
Cyprus,2010,Asia,8,98.6,2.9,3.2,2.7,3.5,3.8,3.3,2,10.6,14,7.2,0.086,0.31,5.3,8.4,2.1,8.2,13,3.5,6.1,65,21.562,35.466,1.627
Cyprus,2015,Asia,7,97.1,2.2,2.4,2,2.7,3,2.5,1.6,9.7,12.9,6.6,0.088,0.317,4.7,7.3,2.1,6.7,8.8,4.7,4.9,75,26.236,40.345,6.46
Czechia,2000,Europe,7,99.8,4.5,5,4,5.5,6.1,4.8,2.7,22.5,30.3,15.2,0.016,0.318,16.3,26.3,6.8,14.9,22.7,7.5,13.2,70,40.886,80.392,4.917
Czechia,2005,Europe,5,99.8,3.5,3.9,3.1,4.3,4.8,3.8,2.2,19.7,26.3,13.5,0.016,0.323,15.8,26.3,5.8,12.9,19.7,6.5,11,71,35.465,84.96,5.616
Czechia,2010,Europe,4,99.7,2.7,3,2.4,3.4,3.8,3,1.7,17.8,23.8,12,0.023,0.324,15,25.4,5.1,7.8,12.3,3.6,11.5,73,35.743,84.689,5.752
Denmark,2000,Europe,8,98.8,4.7,5.2,4.2,5.7,6.3,5,3.5,18.4,21,15.8,0.035,0.371,15.6,22.6,8.8,9.6,13.2,6.1,7.8,72,29.119,95.406,4.081
Denmark,2005,Europe,6,98.8,4.2,4.6,3.7,5,5.6,4.4,3.1,15.1,17.5,12.7,0.036,0.403,14.8,20.3,9.5,6.5,9.8,3.2,5.8,76,33.333,98.279,4.609
Denmark,2010,Europe,5,98.5,3.5,3.9,3.1,4.1,4.6,3.6,2.9,13.5,15.6,11.4,0.036,0.437,11.8,16.5,7.2,5,6.7,3.3,3.6,79,37.211,100.978,4.731
